# started: save_path=sota/ verify_num_samples=10000
[VERIFY] 2026-01-17 17:32:32 | Epoch 0026 | valid 524/10000 (5.24%) | invalid 2986/10000 (29.86%) | nan 6490/10000 (64.90%) | viol_counts hip=7091 thigh=130 calf=5218 | viol(rad) mean=0.250608 max=1.234366
[VERIFY] 2026-01-17 17:33:37 | Epoch 0027 | valid 568/10000 (5.68%) | invalid 2905/10000 (29.05%) | nan 6527/10000 (65.27%) | viol_counts hip=7004 thigh=124 calf=5286 | viol(rad) mean=0.251227 max=1.200169
[VERIFY] 2026-01-17 17:34:44 | Epoch 0028 | valid 578/10000 (5.78%) | invalid 2973/10000 (29.73%) | nan 6449/10000 (64.49%) | viol_counts hip=6906 thigh=113 calf=5328 | viol(rad) mean=0.249298 max=1.270456
[VERIFY] 2026-01-17 17:35:51 | Epoch 0029 | valid 544/10000 (5.44%) | invalid 2898/10000 (28.98%) | nan 6558/10000 (65.58%) | viol_counts hip=7066 thigh=124 calf=5279 | viol(rad) mean=0.252345 max=1.185116
[VERIFY] 2026-01-17 17:36:58 | Epoch 0030 | valid 548/10000 (5.48%) | invalid 2907/10000 (29.07%) | nan 6545/10000 (65.45%) | viol_counts hip=6924 thigh=107 calf=5358 | viol(rad) mean=0.252171 max=1.237603
[VERIFY] 2026-01-17 17:38:05 | Epoch 0031 | valid 542/10000 (5.42%) | invalid 2926/10000 (29.26%) | nan 6532/10000 (65.32%) | viol_counts hip=6997 thigh=104 calf=5381 | viol(rad) mean=0.248211 max=1.243036
[VERIFY] 2026-01-17 17:39:11 | Epoch 0032 | valid 523/10000 (5.23%) | invalid 2997/10000 (29.97%) | nan 6480/10000 (64.80%) | viol_counts hip=7024 thigh=102 calf=5431 | viol(rad) mean=0.248819 max=1.144727
[VERIFY] 2026-01-17 17:40:18 | Epoch 0033 | valid 522/10000 (5.22%) | invalid 2984/10000 (29.84%) | nan 6494/10000 (64.94%) | viol_counts hip=7028 thigh=121 calf=5270 | viol(rad) mean=0.254203 max=1.185590
[VERIFY] 2026-01-17 17:41:25 | Epoch 0034 | valid 554/10000 (5.54%) | invalid 2900/10000 (29.00%) | nan 6546/10000 (65.46%) | viol_counts hip=6869 thigh=109 calf=5314 | viol(rad) mean=0.250096 max=1.230416
[VERIFY] 2026-01-17 17:42:31 | Epoch 0035 | valid 557/10000 (5.57%) | invalid 2911/10000 (29.11%) | nan 6532/10000 (65.32%) | viol_counts hip=6992 thigh=114 calf=5327 | viol(rad) mean=0.249535 max=1.201817
[VERIFY] 2026-01-17 17:43:38 | Epoch 0036 | valid 579/10000 (5.79%) | invalid 2943/10000 (29.43%) | nan 6478/10000 (64.78%) | viol_counts hip=6942 thigh=116 calf=5348 | viol(rad) mean=0.252007 max=1.249006
[VERIFY] 2026-01-17 17:44:44 | Epoch 0037 | valid 560/10000 (5.60%) | invalid 2942/10000 (29.42%) | nan 6498/10000 (64.98%) | viol_counts hip=6956 thigh=118 calf=5159 | viol(rad) mean=0.249835 max=1.124201
[VERIFY] 2026-01-17 17:45:51 | Epoch 0038 | valid 578/10000 (5.78%) | invalid 2939/10000 (29.39%) | nan 6483/10000 (64.83%) | viol_counts hip=7008 thigh=104 calf=5383 | viol(rad) mean=0.252295 max=1.232734
[VERIFY] 2026-01-17 17:46:57 | Epoch 0039 | valid 517/10000 (5.17%) | invalid 2988/10000 (29.88%) | nan 6495/10000 (64.95%) | viol_counts hip=7088 thigh=119 calf=5437 | viol(rad) mean=0.248034 max=1.422484
[VERIFY] 2026-01-17 17:48:04 | Epoch 0040 | valid 551/10000 (5.51%) | invalid 2983/10000 (29.83%) | nan 6466/10000 (64.66%) | viol_counts hip=7082 thigh=111 calf=5351 | viol(rad) mean=0.251583 max=1.410165
[VERIFY] 2026-01-17 17:49:10 | Epoch 0041 | valid 512/10000 (5.12%) | invalid 3068/10000 (30.68%) | nan 6420/10000 (64.20%) | viol_counts hip=7235 thigh=97 calf=5365 | viol(rad) mean=0.252738 max=1.213959
[VERIFY] 2026-01-17 17:50:16 | Epoch 0042 | valid 550/10000 (5.50%) | invalid 2871/10000 (28.71%) | nan 6579/10000 (65.79%) | viol_counts hip=7090 thigh=109 calf=5398 | viol(rad) mean=0.251364 max=1.260290
[VERIFY] 2026-01-17 17:51:22 | Epoch 0043 | valid 559/10000 (5.59%) | invalid 2913/10000 (29.13%) | nan 6528/10000 (65.28%) | viol_counts hip=6934 thigh=131 calf=5319 | viol(rad) mean=0.252166 max=1.265726
[VERIFY] 2026-01-17 17:52:28 | Epoch 0044 | valid 598/10000 (5.98%) | invalid 2889/10000 (28.89%) | nan 6513/10000 (65.13%) | viol_counts hip=6977 thigh=107 calf=5325 | viol(rad) mean=0.250721 max=1.241349
[VERIFY] 2026-01-17 17:53:34 | Epoch 0045 | valid 530/10000 (5.30%) | invalid 2969/10000 (29.69%) | nan 6501/10000 (65.01%) | viol_counts hip=6968 thigh=122 calf=5438 | viol(rad) mean=0.249970 max=1.191594
[VERIFY] 2026-01-17 17:54:40 | Epoch 0046 | valid 533/10000 (5.33%) | invalid 3029/10000 (30.29%) | nan 6438/10000 (64.38%) | viol_counts hip=7015 thigh=108 calf=5286 | viol(rad) mean=0.245037 max=1.309701
[VERIFY] 2026-01-17 17:55:47 | Epoch 0047 | valid 529/10000 (5.29%) | invalid 2955/10000 (29.55%) | nan 6516/10000 (65.16%) | viol_counts hip=6880 thigh=123 calf=5421 | viol(rad) mean=0.251768 max=1.208712
[VERIFY] 2026-01-17 17:56:54 | Epoch 0048 | valid 539/10000 (5.39%) | invalid 2998/10000 (29.98%) | nan 6463/10000 (64.63%) | viol_counts hip=7001 thigh=118 calf=5402 | viol(rad) mean=0.249289 max=1.349232
[VERIFY] 2026-01-17 17:58:00 | Epoch 0049 | valid 536/10000 (5.36%) | invalid 2989/10000 (29.89%) | nan 6475/10000 (64.75%) | viol_counts hip=6951 thigh=102 calf=5417 | viol(rad) mean=0.247943 max=1.240454
[VERIFY] 2026-01-17 17:59:07 | Epoch 0050 | valid 556/10000 (5.56%) | invalid 2900/10000 (29.00%) | nan 6544/10000 (65.44%) | viol_counts hip=7020 thigh=103 calf=5324 | viol(rad) mean=0.251942 max=1.340808
[VERIFY] 2026-01-17 18:00:13 | Epoch 0051 | valid 539/10000 (5.39%) | invalid 2944/10000 (29.44%) | nan 6517/10000 (65.17%) | viol_counts hip=6896 thigh=104 calf=5436 | viol(rad) mean=0.252328 max=1.321662
[VERIFY] 2026-01-17 18:01:19 | Epoch 0052 | valid 572/10000 (5.72%) | invalid 2964/10000 (29.64%) | nan 6464/10000 (64.64%) | viol_counts hip=6934 thigh=110 calf=5325 | viol(rad) mean=0.247619 max=1.192792
[VERIFY] 2026-01-17 18:02:25 | Epoch 0053 | valid 579/10000 (5.79%) | invalid 2906/10000 (29.06%) | nan 6515/10000 (65.15%) | viol_counts hip=6870 thigh=136 calf=5219 | viol(rad) mean=0.251292 max=1.090159
[VERIFY] 2026-01-17 18:03:32 | Epoch 0054 | valid 559/10000 (5.59%) | invalid 2950/10000 (29.50%) | nan 6491/10000 (64.91%) | viol_counts hip=6998 thigh=123 calf=5304 | viol(rad) mean=0.250121 max=1.307880
[VERIFY] 2026-01-17 18:04:38 | Epoch 0055 | valid 573/10000 (5.73%) | invalid 2884/10000 (28.84%) | nan 6543/10000 (65.43%) | viol_counts hip=6889 thigh=97 calf=5261 | viol(rad) mean=0.251703 max=1.174566
[VERIFY] 2026-01-17 18:05:44 | Epoch 0056 | valid 539/10000 (5.39%) | invalid 2909/10000 (29.09%) | nan 6552/10000 (65.52%) | viol_counts hip=6963 thigh=129 calf=5339 | viol(rad) mean=0.249023 max=1.258768
[VERIFY] 2026-01-17 18:06:51 | Epoch 0057 | valid 603/10000 (6.03%) | invalid 2921/10000 (29.21%) | nan 6476/10000 (64.76%) | viol_counts hip=6933 thigh=110 calf=5396 | viol(rad) mean=0.251547 max=1.269574
[VERIFY] 2026-01-17 18:07:57 | Epoch 0058 | valid 537/10000 (5.37%) | invalid 3033/10000 (30.33%) | nan 6430/10000 (64.30%) | viol_counts hip=6995 thigh=127 calf=5291 | viol(rad) mean=0.248752 max=1.252704
[VERIFY] 2026-01-17 18:09:03 | Epoch 0059 | valid 545/10000 (5.45%) | invalid 3045/10000 (30.45%) | nan 6410/10000 (64.10%) | viol_counts hip=7051 thigh=104 calf=5329 | viol(rad) mean=0.245431 max=1.184916
[VERIFY] 2026-01-17 18:10:10 | Epoch 0060 | valid 543/10000 (5.43%) | invalid 3029/10000 (30.29%) | nan 6428/10000 (64.28%) | viol_counts hip=6930 thigh=146 calf=5396 | viol(rad) mean=0.248990 max=1.257921
[VERIFY] 2026-01-17 18:11:16 | Epoch 0061 | valid 581/10000 (5.81%) | invalid 2938/10000 (29.38%) | nan 6481/10000 (64.81%) | viol_counts hip=6926 thigh=108 calf=5341 | viol(rad) mean=0.248882 max=1.179384
[VERIFY] 2026-01-17 18:12:23 | Epoch 0062 | valid 534/10000 (5.34%) | invalid 2982/10000 (29.82%) | nan 6484/10000 (64.84%) | viol_counts hip=6917 thigh=124 calf=5351 | viol(rad) mean=0.250895 max=1.357366
[VERIFY] 2026-01-17 18:13:29 | Epoch 0063 | valid 543/10000 (5.43%) | invalid 2955/10000 (29.55%) | nan 6502/10000 (65.02%) | viol_counts hip=6904 thigh=114 calf=5178 | viol(rad) mean=0.250200 max=1.249447
[VERIFY] 2026-01-17 18:14:36 | Epoch 0064 | valid 556/10000 (5.56%) | invalid 2950/10000 (29.50%) | nan 6494/10000 (64.94%) | viol_counts hip=6967 thigh=103 calf=5421 | viol(rad) mean=0.251191 max=1.249656
[VERIFY] 2026-01-17 18:15:42 | Epoch 0065 | valid 559/10000 (5.59%) | invalid 2894/10000 (28.94%) | nan 6547/10000 (65.47%) | viol_counts hip=6835 thigh=111 calf=5280 | viol(rad) mean=0.251156 max=1.149511
[VERIFY] 2026-01-17 18:16:48 | Epoch 0066 | valid 578/10000 (5.78%) | invalid 2884/10000 (28.84%) | nan 6538/10000 (65.38%) | viol_counts hip=6901 thigh=114 calf=5242 | viol(rad) mean=0.251938 max=1.240722
[VERIFY] 2026-01-17 18:17:55 | Epoch 0067 | valid 547/10000 (5.47%) | invalid 2891/10000 (28.91%) | nan 6562/10000 (65.62%) | viol_counts hip=6995 thigh=99 calf=5313 | viol(rad) mean=0.251649 max=1.180052
