# started: save_path= verify_num_samples=10000
[VERIFY] 2026-01-17 18:56:30 | Epoch 0027 | valid 9391/10000 (93.91%) | invalid 315/10000 (3.15%) | nan 294/10000 (2.94%) | viol_counts hip=53 thigh=18 calf=267 | viol(rad) mean=0.052869 max=1.153641
[VERIFY] 2026-01-17 19:01:03 | Epoch 0028 | valid 9405/10000 (94.05%) | invalid 275/10000 (2.75%) | nan 320/10000 (3.20%) | viol_counts hip=27 thigh=12 calf=245 | viol(rad) mean=0.034225 max=0.960137
[VERIFY] 2026-01-17 19:05:35 | Epoch 0029 | valid 9182/10000 (91.82%) | invalid 291/10000 (2.91%) | nan 527/10000 (5.27%) | viol_counts hip=46 thigh=2 calf=256 | viol(rad) mean=0.043262 max=0.888827
[VERIFY] 2026-01-17 19:10:08 | Epoch 0030 | valid 9248/10000 (92.48%) | invalid 363/10000 (3.63%) | nan 389/10000 (3.89%) | viol_counts hip=74 thigh=4 calf=312 | viol(rad) mean=0.050610 max=1.003639
[VERIFY] 2026-01-17 19:14:41 | Epoch 0031 | valid 9267/10000 (92.67%) | invalid 453/10000 (4.53%) | nan 280/10000 (2.80%) | viol_counts hip=92 thigh=6 calf=379 | viol(rad) mean=0.076141 max=1.224415
[VERIFY] 2026-01-17 19:19:14 | Epoch 0032 | valid 9438/10000 (94.38%) | invalid 221/10000 (2.21%) | nan 341/10000 (3.41%) | viol_counts hip=35 thigh=1 calf=202 | viol(rad) mean=0.036969 max=0.729278
[VERIFY] 2026-01-17 19:23:47 | Epoch 0033 | valid 9192/10000 (91.92%) | invalid 265/10000 (2.65%) | nan 543/10000 (5.43%) | viol_counts hip=29 thigh=4 calf=251 | viol(rad) mean=0.051132 max=0.730468
[VERIFY] 2026-01-17 19:28:20 | Epoch 0034 | valid 9495/10000 (94.95%) | invalid 190/10000 (1.90%) | nan 315/10000 (3.15%) | viol_counts hip=18 thigh=0 calf=181 | viol(rad) mean=0.030931 max=0.340268
[VERIFY] 2026-01-17 19:32:52 | Epoch 0035 | valid 9300/10000 (93.00%) | invalid 242/10000 (2.42%) | nan 458/10000 (4.58%) | viol_counts hip=44 thigh=2 calf=211 | viol(rad) mean=0.036924 max=0.979355
[VERIFY] 2026-01-17 19:37:25 | Epoch 0036 | valid 9428/10000 (94.28%) | invalid 218/10000 (2.18%) | nan 354/10000 (3.54%) | viol_counts hip=17 thigh=9 calf=201 | viol(rad) mean=0.036517 max=0.690568
